"donor","gene","detected_pct_P2","mean_UMI_per_cell_P2","detected_pct_P5","mean_UMI_per_cell_P5","delta_detected_pct","log2_mean_UMI_fold_change"
"K82","KRT14",99.8907103825137,659.43087431694,99.9352191751242,370.047937810408,0.0445087926105003,-0.833507547591346
"K82","KRT5",99.4808743169399,406.825409836066,99.4169725761175,242.173396674584,-0.0639017408224021,-0.74836698975203
"K82","LMNB1",31.5027322404372,0.578415300546448,10.6240552796372,0.166918592096739,-20.8786769607999,-1.78683580657228
"K82","LOR",0.355191256830601,0.0581967213114754,7.51457568559706,1.24465558194774,7.15938442876646,4.39524414221643
"K82","LUM",0.109289617486339,0.00109289617486339,0.0647808248758368,0.000863744331677823,-0.044508792610502,-0.167296778884165
"K82","MKI67",49.4535519125683,5.28825136612022,21.1833297343986,1.55344418052257,-28.2702221781697,-1.766664728577
"K82","SPINK5",72.103825136612,24.177868852459,75.3185057223062,30.2910818397754,3.21468058569418,0.325193978232377
"K82","SPRR1A",15.7650273224044,1.08333333333333,20.5787087022241,1.21831137983157,4.81368137981977,0.169258277453417
"K82","SPRR1B",63.7158469945355,37.9207650273224,82.2932412006046,57.5128481969337,18.5773942060691,0.600883255840061
"K82","TGM1",51.2841530054645,3.45245901639344,50.5506370114446,3.39710645648888,-0.733515994019868,-0.023311052461463
"K82","TOP2A",40.7103825136612,3.63005464480874,17.058950550637,1.0855106888361,-23.6514319630242,-1.74068627436043
"K82","TP63",68.7431693989071,2.22103825136612,49.6652990714748,1.19628589937379,-19.0778703274323,-0.892115958337732
"K82","TYMS",55.792349726776,2.10819672131148,29.777585834593,0.972792053552149,-26.014763892183,-1.11500802627744
"K82","UBE2C",40.7377049180328,4.05464480874317,19.045562513496,1.9511984452602,-21.6921424045368,-1.05483159391957
"K82","VIM",57.7868852459016,10.9224043715847,79.2053552148564,22.2496221118549,21.4184699689548,1.02642311891005
"K86","ABCA12",33.8490835515354,0.682932635086884,48.0151706700379,1.31352718078382,14.1660871185026,0.942617836273699
"K86","ANLN",46.1556772197096,1.82694596524637,21.8204804045512,0.91251580278129,-24.3351968151584,-1.00072183327167
"K86","AURKB",26.3270649845275,0.657700547488693,7.13021491782554,0.192920353982301,-19.196850066702,-1.76415851181978
"K86","CCNA2",31.3734825041657,0.90121399666746,8.84955752212389,0.2826801517067,-22.5239249820418,-1.66920445487817
"K86","CENPF",41.5853368245656,2.6693644370388,12.1871049304678,0.899873577749684,-29.3982318940978,-1.56764007894396
"K86","CKAP2L",28.15996191383,0.635800999761961,8.34386852085967,0.206826801517067,-19.8160933929704,-1.61546088348776
"K86","CLDN1",32.9683408712211,1.43299214472745,47.3577749683944,3.38407079646018,14.3894340971733,1.23914888598897
"K86","COL17A1",79.7667222089979,13.6626993572959,83.9696586599241,37.4108723135272,4.20293645092629,1.45314803200487
"K86","COL1A1",29.1359200190431,2.63008807426803,37.0670037926675,2.2897597977244,7.93108377362442,-0.199833352906272
"K86","COL1A2",12.2827898119495,0.900499880980719,8.36915297092288,0.545132743362832,-3.91363684102665,-0.723075645069537
"K86","DCN",2.07093549154963,0.0278505117829088,3.66624525916561,0.0510745891276865,1.59530976761598,0.851982640092412
"K86","DSG1",37.4434658414663,2.08117114972626,39.2414664981037,3.79570164348925,1.79800065663735,0.866657972232918
"K86","FLG",13.1159247798143,1.86407998095692,30.7964601769912,10.4106194690265,17.6805353971768,2.48088508463787
"K86","FOXM1",26.1842418471792,0.432278029040705,7.7370417193426,0.123893805309735,-18.4472001278366,-1.79459115975845
"K86","HMGB2",50.1785289216853,2.34301356819805,15.448798988622,0.543109987357775,-34.7297299330633,-2.10701070574648
"K86","ITGA6",80.6474648893121,13.4232325636753,83.0594184576485,20.9286978508217,2.41195356833649,0.640711869843003
"K86","ITGB4",74.8869316829326,7.99785765293978,78.3312262958281,14.1706700379267,3.44429461289542,0.825143897279586
"K86","IVL",31.6353249226375,3.81885265412997,65.2844500632111,15.2040455120101,33.6491251405737,1.99296124032158
